PID   USER     TIME   COMMAND
    1 0          0:01 /init --second-stage
    2 0          0:00 [kthreadd]
    3 0          0:01 [ksoftirqd/0]
    5 0          0:00 [kworker/0:0H]
    7 0          0:00 [migration/0]
    8 0          0:04 [rcu_preempt]
    9 0          0:00 [rcu_bh]
   10 0          0:00 [rcu_sched]
   11 0          0:00 [migration/1]
   12 0          0:01 [ksoftirqd/1]
   14 0          0:00 [kworker/1:0H]
   15 0          0:00 [migration/2]
   16 0          0:00 [ksoftirqd/2]
   18 0          0:00 [kworker/2:0H]
   19 0          0:00 [migration/3]
   20 0          0:00 [ksoftirqd/3]
   22 0          0:00 [kworker/3:0H]
   23 0          0:00 [migration/4]
   24 0          0:00 [ksoftirqd/4]
   25 0          0:00 [kworker/4:0]
   26 0          0:00 [kworker/4:0H]
   27 0          0:00 [migration/5]
   28 0          0:00 [ksoftirqd/5]
   29 0          0:00 [kworker/5:0]
   30 0          0:00 [kworker/5:0H]
   31 0          0:00 [migration/6]
   32 0          0:00 [ksoftirqd/6]
   33 0          0:00 [kworker/6:0]
   34 0          0:00 [kworker/6:0H]
   35 0          0:00 [migration/7]
   36 0          0:00 [ksoftirqd/7]
   37 0          0:00 [kworker/7:0]
   38 0          0:00 [kworker/7:0H]
   39 0          0:00 [khelper]
   47 0          0:00 [kworker/1:1]
   48 0          0:00 [kworker/2:1]
   50 0          0:00 [kworker/3:1]
   51 0          0:00 [kworker/4:1]
   52 0          0:01 [kworker/6:1]
   53 0          0:01 [kworker/5:1]
   54 0          0:01 [kworker/7:1]
  272 0          0:04 [mailbox-13]
  273 0          0:00 [mailbox-14]
  274 0          0:00 [mailbox-17]
  275 0          0:00 [mailbox-10]
  276 0          0:00 [mailbox-18]
  279 0          0:00 [icc_shared]
  282 0          0:00 [softtimer_nowak]
  623 0          0:00 [writeback]
  626 0          0:00 [bioset]
  627 0          0:00 [crypto]
  629 0          0:00 [kblockd]
  664 0          0:00 [spi0]
  670 0          0:00 [spi1]
  675 0          0:00 [khubd]
  691 0          0:00 [carveout-heap]
  694 0          0:00 [devfreq_wq]
  696 0          0:00 [dsm_wq]
  707 0          0:00 [cfg80211]
  831 0          0:00 [rpciod]
